iter	RMSE
496	1.497098555
497	1.496837634
498	1.496584758
499	1.496313265
500	1.496063489
501	1.495822318
502	1.495579268
503	1.495327897
504	1.495086546
505	1.494849329
506	1.494601885
507	1.494367231
508	1.494131926
509	1.493896092
510	1.493667713
511	1.493449681
512	1.493202743
513	1.49297432
514	1.492739409
515	1.492501082
516	1.492257306
517	1.492036546
518	1.491799398
519	1.491552125
520	1.49132105
521	1.491085818
522	1.490867346
523	1.490646319
524	1.490414919
525	1.490193702
526	1.489954659
527	1.489746242
528	1.489538844
529	1.489325318
530	1.489117491
531	1.488898484
532	1.488683142
533	1.488480217
534	1.488270114
535	1.488073359
536	1.487858391
537	1.487663184
538	1.48744754
539	1.487250182
540	1.4870499
541	1.486838732
542	1.48663611
543	1.48644278
544	1.486248869
545	1.48605055
546	1.485851093
547	1.485656796
548	1.485468587
549	1.485266891
550	1.48508728
551	1.48489554
552	1.484713907
553	1.484531881
554	1.48433976
555	1.484156885
556	1.483958224
557	1.483777342
558	1.483595016
559	1.483418604
560	1.483222443
561	1.483043636
562	1.482868581
563	1.48269963
564	1.482528928
565	1.482356968
566	1.482182203
567	1.482004323
568	1.481830941
569	1.481659457
570	1.481468697
571	1.481300454
572	1.481119867
573	1.48095976
574	1.480785202
575	1.480618182
576	1.48045294
577	1.480280119
578	1.480118063
579	1.479954686
580	1.479787015
581	1.479633273
582	1.479471517
583	1.479294179
584	1.479123084
585	1.478962451
586	1.478806825
587	1.478649259
588	1.478479144
589	1.478320488
590	1.478171683
591	1.478018642
592	1.477868813
593	1.477715741
594	1.477570103
595	1.477424203
596	1.477280771
597	1.477141176
598	1.476996848
599	1.476858468
600	1.476712622
601	1.476573408
602	1.476428154
603	1.476273007
604	1.47612704
605	1.475993488
606	1.475845256
607	1.475689053
608	1.475554902
609	1.475421486
610	1.475280906
611	1.47515188
612	1.475013763
613	1.474886268
614	1.474750738
615	1.474607047
616	1.47447989
617	1.474342394
618	1.474211419
619	1.474085721
620	1.473952234
621	1.473826141
622	1.47369705
623	1.473571931
624	1.473443066
625	1.473312447
626	1.473192962
627	1.473068547
628	1.472940324
629	1.472814393
630	1.472688826
631	1.472566736
632	1.472443452
633	1.472325953
634	1.472207821
635	1.472071296
636	1.471947847
637	1.471822953
638	1.471688326
639	1.471576563
640	1.471453009
641	1.471332251
642	1.471213977
643	1.471088148
644	1.470969355
645	1.470858099
646	1.470740099
647	1.470633316
648	1.470513052
649	1.470383046
650	1.470277173
651	1.470153822
652	1.470053549
653	1.469947716
654	1.469832825
655	1.469724978
656	1.469617935
657	1.469504703
658	1.469404449
659	1.469295696
660	1.469176072
661	1.469073734
662	1.468960398
663	1.468863791
664	1.468757746
665	1.468652756
666	1.468542886
667	1.468445564
668	1.4683428
669	1.468244965
670	1.468139438
671	1.468042714
672	1.467946921
673	1.467833749
674	1.467738005
675	1.467645442
676	1.467551998
677	1.467456798
678	1.46736228
679	1.467272757
680	1.467177726
681	1.467094069
682	1.466998965
683	1.466902041
684	1.466812489
685	1.466720431
686	1.466624114
687	1.466536235
688	1.466444847
689	1.466360836
690	1.466278258
691	1.46618285
692	1.46609945
693	1.466004844
694	1.465917365
695	1.465838517
696	1.465753971
697	1.465664787
698	1.465582609
699	1.465501114
700	1.465418926
701	1.465341367
702	1.465251219
703	1.465166388
704	1.465083117
705	1.464998777
706	1.464916749
707	1.464837534
708	1.464762824
709	1.464675397
710	1.464587526
711	1.464511363
712	1.464434256
713	1.464358022
714	1.464281095
715	1.464204415
716	1.464130988
717	1.464052734
718	1.463974913
719	1.463900723
720	1.463826091
721	1.463755027
722	1.463673556
723	1.463600855
724	1.463519062
725	1.463452496
726	1.463379533
727	1.463310704
728	1.463243564
729	1.46318081
730	1.46310727
731	1.463033161
732	1.46296325
733	1.46288023
734	1.46279802
735	1.462728913
736	1.462661182
737	1.462595267
738	1.462522889
739	1.462450068
740	1.462381634
741	1.462319031
742	1.46225241
743	1.462189363
744	1.462126563
745	1.462053785
746	1.461989913
747	1.461921333
748	1.461862098
749	1.46178573
750	1.461718458
751	1.461658337
752	1.461591498
753	1.461530493
754	1.461451848
755	1.461389456
756	1.461323986
757	1.461242191
758	1.461179665
759	1.461119019
760	1.461059815
761	1.460991316
762	1.460936377
763	1.460876537
764	1.46082197
765	1.460766711
766	1.460707053
767	1.460653798
768	1.460591309
769	1.460525238
770	1.460459227
771	1.460405712
772	1.460352572
773	1.46028894
774	1.460227315
775	1.460165248
776	1.460108015
777	1.46003344
778	1.459972999
779	1.459908282
780	1.459849531
781	1.459789208
782	1.459738433
783	1.459686463
784	1.459632794
785	1.459576232
786	1.459526393
787	1.459477684
788	1.459427087
789	1.459375043
790	1.459328026
791	1.45927076
792	1.459223928
793	1.459158612
794	1.459110016
795	1.459056578
796	1.45899817
797	1.458950575
798	1.458901784
799	1.458853996
800	1.458800674
801	1.458745526
802	1.458700438
803	1.458655097
804	1.458609503
805	1.458547682
806	1.458505418
807	1.458455479
808	1.458417489
809	1.458358868
810	1.458314459
811	1.45827288
812	1.458223752
813	1.458152918
814	1.45810907
815	1.458069813
816	1.458028038
817	1.457985319
818	1.45794524
819	1.457892011
820	1.457845638
821	1.457803102
822	1.457761445
823	1.457716264
824	1.457679325
825	1.457637224
826	1.457595752
827	1.457547607
828	1.457494174
829	1.457455467
830	1.457409962
831	1.457366154
832	1.457331724
833	1.457280486
834	1.457237619
835	1.457196513
836	1.457163212
837	1.457115682
838	1.457065255
839	1.457029874
840	1.456984606
841	1.456944501
842	1.456909305
843	1.456872597
844	1.456835826
845	1.456796156
846	1.456757998
847	1.456711777
848	1.456667319
849	1.456628338
850	1.456584129
851	1.456537651
852	1.456503328
853	1.456459304
854	1.456414019
855	1.456375094
856	1.456333964
857	1.45629995
858	1.456252267
859	1.456219826
860	1.456188959
861	1.456157273
862	1.456128799
863	1.456079724
864	1.4560389
865	1.456003682
866	1.455970228
867	1.455937592
868	1.455897268
869	1.455874775
870	1.455837789
871	1.455805717
872	1.455768603
873	1.455737727
874	1.455706157
875	1.455675594
876	1.45564604
877	1.455613144
878	1.455577286
879	1.455543948
880	1.455512626
881	1.455473866
882	1.455434979
883	1.45540044
884	1.455378443
885	1.455343651
886	1.455313522
887	1.455284527
888	1.455255279
889	1.455223131
890	1.455195774
891	1.455166209
892	1.4551403
893	1.455110797
894	1.455079718
895	1.455058032
896	1.45502071
897	1.454996374
898	1.454974624
899	1.454945496
900	1.454921537
901	1.454891904
902	1.454865171
903	1.454836608
904	1.454809117
905	1.454779482
906	1.454749782
907	1.454716173
908	1.454690319
909	1.454664843
910	1.454628836
911	1.454594214
912	1.45457025
913	1.454544205
914	1.454508572
915	1.454489337
916	1.45446329
917	1.454428223
918	1.454402364
919	1.4543801
920	1.454345914
921	1.454307061
922	1.454283975
923	1.45425641
924	1.454224934
925	1.454199261
926	1.454176047
927	1.454141226
928	1.454115425
929	1.454087794
930	1.454046977
931	1.454025149
932	1.45400351
933	1.453976697
934	1.453953543
935	1.453932912
936	1.453907612
937	1.453883889
938	1.453852784
939	1.453830448
940	1.453806282
941	1.453781106
942	1.453759337
943	1.453740281
944	1.45372337
945	1.453697624
946	1.453676801
947	1.453648026
948	1.453626696
949	1.453593629
950	1.453568954
951	1.453538473
952	1.453511399
953	1.453489752
954	1.453462299
955	1.453444122
956	1.453418183
957	1.453396598
958	1.453374696
959	1.453356519
960	1.453325591
961	1.45329157
962	1.453256034
963	1.453235204
964	1.45320623
965	1.45317732
966	1.453154469
967	1.453130607
968	1.45311249
969	1.453093236
970	1.45306912
971	1.453038755
972	1.453020068
973	1.452991091
974	1.452968931
975	1.452943299
976	1.452921706
977	1.452903144
978	1.452883193
979	1.452865262
980	1.452847268
981	1.452826684
982	1.452804838
983	1.452787411
984	1.4527679
985	1.45275262
986	1.45273797
987	1.452710376
988	1.452691559
989	1.452675836
990	1.452654934
991	1.452626581
992	1.45260189
993	1.452581303
994	1.452562042
995	1.452548275
996	1.452530466
997	1.452512467
998	1.45249169
999	1.452476343
