iter	Passed	Remaining
399	41870	62805
400	41974	62700
401	42078	62594
402	42183	62490
403	42288	62385
404	42392	62280
405	42496	62174
406	42601	62069
407	42705	61965
408	42811	61862
409	42916	61758
410	43021	61654
411	43126	61548
412	43232	61446
413	43337	61342
414	43442	61238
415	43547	61134
416	43653	61030
417	43757	60925
418	43862	60821
419	43968	60717
420	44072	60613
421	44177	60508
422	44284	60406
423	44390	60304
424	44496	60201
425	44602	60098
426	44708	59995
427	44814	59892
428	44920	59789
429	45026	59686
430	45132	59583
431	45239	59480
432	45345	59378
433	45451	59275
434	45558	59174
435	45665	59072
436	45771	58968
437	45878	58866
438	45984	58763
439	46090	58661
440	46197	58558
441	46303	58455
442	46410	58354
443	46517	58251
444	46623	58148
445	46729	58045
446	46835	57942
447	46943	57840
448	47051	57739
449	47159	57639
450	47265	57536
451	47372	57433
452	47478	57330
453	47584	57227
454	47690	57124
455	47797	57021
456	47903	56918
457	48010	56815
458	48116	56712
459	48223	56609
460	48329	56506
461	48438	56407
462	48545	56303
463	48651	56200
464	48758	56098
465	48864	55994
466	48970	55891
467	49076	55788
468	49182	55684
469	49289	55581
470	49395	55478
471	49501	55374
472	49607	55271
473	49714	55168
474	49820	55064
475	49926	54961
476	50033	54858
477	50138	54754
478	50245	54651
479	50353	54549
480	50460	54446
481	50566	54342
482	50672	54239
483	50778	54135
484	50883	54031
485	50989	53927
486	51096	53823
487	51202	53720
488	51309	53617
489	51415	53513
490	51522	53410
491	51627	53306
492	51733	53203
493	51840	53099
494	51946	52996
495	52052	52891
496	52158	52787
497	52265	52685
498	52372	52582
499	52479	52479
500	52585	52376
501	52692	52272
502	52799	52169
503	52905	52065
504	53010	51960
505	53116	51856
506	53221	51751
507	53327	51648
508	53433	51543
509	53539	51439
510	53644	51335
511	53749	51230
512	53858	51128
513	53964	51024
514	54069	50919
515	54175	50815
516	54280	50711
517	54394	50614
518	54499	50509
519	54604	50404
520	54709	50299
521	54813	50193
522	54918	50088
523	55023	49982
524	55127	49877
525	55231	49771
526	55357	49684
527	55461	49579
528	55566	49474
529	55671	49369
530	55776	49263
531	55880	49158
532	55985	49052
533	56091	48948
534	56196	48843
535	56308	48745
536	56416	48642
537	56522	48537
538	56627	48433
539	56733	48328
540	56838	48223
541	56944	48118
542	57049	48013
543	57154	47908
544	57260	47804
545	57366	47700
546	57472	47596
547	57577	47491
548	57683	47386
549	57788	47281
550	57893	47176
551	57998	47070
552	58103	46965
553	58208	46860
554	58315	46757
555	58422	46654
556	58528	46549
557	58633	46444
558	58738	46339
559	58842	46233
560	58947	46128
561	59053	46023
562	59158	45918
563	59263	45813
564	59369	45709
565	59475	45604
566	59581	45500
567	59686	45395
568	59792	45290
569	59898	45186
570	60003	45081
571	60108	44976
572	60214	44871
573	60319	44766
574	60425	44662
575	60530	44557
576	60635	44452
577	60740	44346
578	60845	44241
579	60950	44136
580	61055	44031
581	61160	43926
582	61265	43821
583	61371	43716
584	61486	43618
585	61591	43513
586	61697	43408
587	61801	43303
588	61906	43198
589	62011	43092
590	62115	42987
591	62220	42881
592	62325	42776
593	62430	42671
594	62536	42566
595	62641	42461
596	62746	42356
597	62851	42251
598	62956	42145
599	63061	42041
600	63166	41935
601	63271	41830
602	63376	41725
603	63482	41620
604	63588	41516
605	63693	41411
606	63798	41305
607	63902	41200
608	64007	41095
609	64112	40989
610	64217	40884
611	64322	40779
612	64429	40675
613	64534	40570
614	64640	40466
615	64745	40361
616	64851	40256
617	64956	40151
618	65062	40046
619	65167	39941
620	65272	39836
621	65377	39731
622	65482	39626
623	65587	39520
624	65693	39416
625	65798	39310
626	65903	39205
627	66009	39101
628	66114	38996
629	66219	38890
630	66324	38785
631	66429	38680
632	66534	38575
633	66639	38470
634	66744	38365
635	66849	38259
636	66954	38154
637	67058	38048
638	67163	37943
639	67268	37838
640	67373	37733
641	67478	37628
642	67586	37524
